prompt,Title,Description,Class Index,pred_answer,score
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Sun acquisition to boost IT services portfolio,"Sun Microsystemshas agreed to purchase Ashburn, Virginia, IT services company SevenSpace, the companies announced Monday. With the purchase, Sun takes a further step away from its traditional focus on supporting only its Solaris operating system platform and beefs up its support for competing operating systems like Windows, HP-UX and AIX.",4.0,"{""Class Index"": ""3""}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Mountain climbers,"The Big East is under siege again. Oh, it's not as overt as the move by the Atlantic Coast Conference two years ago, which went on a membership drive, targeting Miami, Syracuse, Boston College, and eventually Virginia Tech.",2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Indonesia police identify embassy attacker,"Indonesian police on Friday identified the man they suspect was the suicide bomber in an attack on the Australian Embassy in Jakarta last month, and said the 30 ",1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.","Tennis: Canas crushes Novak to reach Shanghai final, faces &lt;b&gt;...&lt;/b&gt;","SHANGHAI : Argentina #39;s Guillermo Canas dominated Jiri Novak of the Czech Republic to book his place in the final of the 380,000-dollar ATP Shanghai Open tennis tournament against unheralded German Lars Burgsmuller.",2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",TiVo Unveils Portable Transfer Service,"TiVo Inc. pioneered digital video recording as a new way of watching television - when you want it. Now it could be TV where you want it, too.",4.0,"{""Class Index"": ""3""}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Quarterback Brady enjoyed a field day,"FOXBOROUGH -- Though more than \$300 million was invested in the construction of Gillette Stadium, part of it going to a state-of-the-art drainage system, the playing surface reminds Tom Brady of his high school field in San Mateo, Calif.",2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Auto sales rise; Asians gain share,Consumers shrugged off higher gasoline prices and weaker economic conditions to lift new car and truck sales up 2.2 percent in October.,3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",At Least Five Dead in Russia Mine Blast (Reuters),"Reuters - At least five miners were killed and 14\injured in a blast in a coal mine in Russia's Siberia, the\Emergencies Ministry said on Thursday.",1.0,"{""Class Index"": ""3""}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Yellowknife parole officer found dead after visiting client in apartment (Canadian Press),Canadian Press - YELLOWKNIFE (CP) - The case of a parole officer apparently killed while she was visiting a client has devastated her colleagues.,1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Virus  #39;talks #39; to victims,Virus writers have created a piece of malware that  #39;talks #39; to victims. The Amus email worm uses Windows Speech Engine (which is built-in to Windows XP) to deliver a curious message to infected users.,4.0,"{""Class Index"": ""4""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Coding Viruses for the Mind,"If as some have suggested religions are viruses of the mind, then it might make sense to separate the components of any given religion into two parts. The first part being those things which are necessary to maintain viral infection and which assist in the infection of new hosts. The second part is the payload: Those instructions which the virus writer wishes those who have been infected to carry out or execute.     My hope is that this method of analysis will assist others in understanding the structure of existing religions as well as those who aim to write one from scratch",4.0,"{""Class Index"": ""4""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Video Game Makers Go Hollywood. Uh-Oh.,"OVIE producers are often criticized for running at the sight of original ideas, preferring instead to milk plays, books, news events, toys and even video games for their screenplays.",4.0,"{""Class Index"": ""3""}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.","150,000 new jobs expected","The economy probably added 150,000 jobs in September and the unemployment rate held steady at 5.4, a three-year low, according to a survey of economists.",3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Photo: Sony's LocationFree TVs,The electronics maker's wireless television set emphasizes advances in the boob tube.,4.0,"{""Class Index"": ""4""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Iran given nuclear deadline,"the (International Atomic Energy Agency) board of governors, quot; he said.  quot;A proposal will be put to them. quot;. produce fuel for nuclear weapons -- but Tehran rejected the demand as illegal.",1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",UN shrugs off US demands to boost Iraq presence,BAGHDAD (AFP) - The United States failed win a promise from the United Nations to increase its staff in Iraq ahead of elections as Washington stepped up its charges that Damascus was sheltering insurgent leaders.,1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",NASA Picks May 2005 Shuttle Launch Date (AP),"AP - NASA is aiming for a mid-May launch of the first shuttle flight since the Columbia tragedy almost two years ago. The launch date was the latest of several set by the space agency, and just as subject to change.",4.0,"{""Class Index"": ""4""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Ex-Philly Eagles Coach Nick Skorich Dies (AP),"AP - Nick Skorich, head coach of the Philadelphia Eagles from 1961-63 and the offensive line coach on the 1960 championship team, has died at the age of 83.",2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.","Microsoft, Swatch Partner on Wireless Watch (NewsFactor)",NewsFactor - Microsoft (Nasdaq: MSFT) has hooked up with Swatch to deliver the latest in a line of smart wristwatches using the software giant's MSN Direct wireless content-delivery technology.,4.0,"{""Class Index"": ""4""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.","For Many Airline Pilots, the Thrill Is Gone","While pilots still feel in command in the air, they increasingly are feeling slighted on the ground, as airlines extract salary and benefits concessions from them.",1.0,"{""Class Index"": ""3""}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Freescale Unveils Dual-Core PowerPC,"Freescale Semiconductor Inc. took some of the wraps off of its dual-core microprocessor design, which the company said would be tailored to embedded applications.",4.0,"{""Class Index"": ""4""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Hockey Labor Talks Broken Off,"TORONTO -- National Hockey League labor talks came to a halt Tuesday after each side rejected the other #39;s proposal. The talks lasted more than three hours, with the league making a one-hour presentation on ",2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",German teenager indicted over Sasser worm,"Prosecutors in Verden, Germany, indicted an 18-year-old student on Wednesday for allegedly creating the Sasser worm that crashed hundreds of thousands of computers worldwide after spreading at lighting speed over the Internet.",4.0,"{""Class Index"": ""4""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Wi-Fi successor is called high-speed hype -- for now,"SAN FRANCISCO -- At virtually every turn, Intel Corp. executives are heaping praise on an emerging long-range wireless technology known as WiMAX, which can blanket entire cities with high-speed Internet access.",3.0,"{""Class Index"": ""4""}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Iran Seeks to Amend Nuclear Freeze Deal (AP),"AP - Iran sought on Wednesday to partially roll back its commitment to freeze all uranium enrichment programs, demanding the right to run some equipment that can be used to produce nuclear arms.",1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.","Giants win 6th straight, but Schmidt is injured","SAN FRANCISCO -- With the first doubleheader at SBC Park set to go off, today already stood to be a long workday for the Giants. It will come on the heels of an even longer night. ",2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Five Killed in Al Qaeda Jailbreak in Kabul," KABUL (Reuters) - Three Afghan prison guards and two  prisoners were killed in a jail break attempt by al Qaeda  inmates Friday and a shoot-out was going on between police and  another two, the chief of Kabul's Pul-i-Charki prison told  Reuters.",1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Cambodia passes succession law,"Cambodia approves a law to choose a new monarch, after King Sihanouk's abdication announcement.",1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Israel trial over slain Gaza girl,An Israeli military court has charged an army officer with illegally using his weapon when he allegedly shot a Palestinian girl who was already dead.,1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",U.S. Broadband Penetration Tops 51,By ANICK JESDANUN    NEW YORK (AP) -- The number of Americans who get on the Internet via high-speed lines has now equaled the number using dial-up connections.    July measurements from Nielsen/NetRatings placed the broadband audience at 51 percent of the U.S...,4.0,"{""Class Index"": ""4""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Mozambicans Vote for New President,"Mozambique #39;s poor, many carrying small children, trudged along narrow dirt roads in oppressive heat Wednesday to pick a replacement for the president who has ruled ",1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",ESPN.com news services,HOUSTON -- The Houston Astros enter today #39;s contest against the Colorado Rockies knowing that a victory will earn them an improbable playoff berth.,2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Government gets tough as South Korea's labor reform sparks protests (AFP),AFP - The South Korean government is warning of tough action against union militancy as legislation aimed at increasing flexibility in South Korea's labor market triggered a head-on collision with labor groups.,1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Baseball's Homeless Franchise,"Bud Selig, the Major League Baseball commissioner, didn't realize he was gambling when he awarded the Expos to Washington.",2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Coke CEO gives pep talk as company lowers outlook,"Coca-Cola #39;s top executive said Wednesday the beverage maker needs to work harder, better execute its business strategy and improve its culture as he warned that third-quarter per-share income will drop at least 24 percent from a year ago.",3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.","Staples Profit Up, to Enter China Market"," NEW YORK (Reuters) - Staples Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=SPLS.O target=/stocks/quickinfo/fullquote""&gt;SPLS.O&lt;/A&gt;, the top U.S.  office products retailer, on Tuesday reported a 39 percent jump  in quarterly profit, raised its full-year forecast and said it  plans to enter the fast-growing Chinese market, sending its  shares higher.",3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",VeriSign Touts Childrens' Online Identity Token," WASHINGTON (Reuters) - VeriSign Inc. &lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=VRSN.O qtype=sym infotype=info qcat=news""&gt;VRSN.O&lt;/A&gt; and a  children's safety group unveiled a new technology on Thursday  that they said would make it easier for children to avoid child  predators online.",4.0,"{""Class Index"": ""4""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",VoIP firm ties rebate deal to Wi-Fi router,Vonage and Cisco's Linksys have a new bundle: an 802.11g router and any of three Vonage plans.,4.0,"{""Class Index"": ""3""}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Sony and Samsung to Cross-License Patents,Sony Corp. and Samsung Electronics said on Tuesday they had agreed to share patents on basic technology to speed up product development and avoid adding to a growing number of cross-border patent disputes.,4.0,"{""Class Index"": ""4""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Trapeze Software Eases Services Delivery (Ziff Davis),Ziff Davis - Trapeze Networks this week will announce upgrades to its wireless LAN switch software.,4.0,"{""Class Index"": ""4""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Miracle in mud!,"REAL: Philippine rescuers were yesterday frantically digging for more survivors after four people, including a toddler, were pulled alive from a building crushed by a landslide 11 days ago.",1.0,"{""Class Index"": ""4""}",0.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.","As French school year begins, Iraq crisis tests head scarf ban","PARIS -- School doors open for 12 million French children today, but there is far more at stake this year than back-to-school jitters.",1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",P. Diddy Takes Vote Drive to Swing States (AP),"AP - Hip-hop mogul Sean ""P. Diddy"" Combs is following the lead of President Bush and Sen. John Kerry by taking his get-out-the-vote campaign to the swing states.",1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",More buyers choose artificial,"Renee McDonald remembers the Christmas trees of her youth: spindly, fake and out of a box. They were hard to put up, and they just didn #39;t smell right.",3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Defence contractors chase \$23bn deal,EUROPES biggest defence contractors will have the chance to bid for a \$23 billion (12 billion) air refuelling contract for the US Air Force that has been withdrawn from Boeing.,3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Dollar Holds Above Record Low Vs Euro," LONDON (Reuters) - The dollar held almost a cent above its  record low against the euro on Tuesday, winning a respite after  heavy selling as European officials warned about a strong euro  and investors grew wary ahead of U.S. trade data.",3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Holiday-Shopping Season Remains Sluggish (Reuters),Reuters - U.S. shoppers have kept a tight grip\on their wallets this holiday season with indices on Tuesday\showing sluggish sales in the second week of the  season.,3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",MetroPCS obtains Cingular air,"com November 29, 2004, 8:33 AM PT. Wired  amp; Wireless continues its reign as the top IT priority among IT managers due to widespread IP telephony deployment and other network infrastructure upgrades.",3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.","Lego, Carrefour in French Price-Fix Probe (AP)",AP - French competition authorities are investigating Danish toy maker Lego Systems AS and supermarket retailer Carrefour SA as part of a probe into alleged price fixing in the French toy market in 2002 and early 2003.,3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.","Attackers shoot, burn villagers in east Congo, killing 14, UN says (Canadian Press)","Canadian Press - KINSHASA, Congo (AP) - Attackers overran a sleeping village in east Congo's lawless Ituri province Monday and slaughtered 14 residents, including seven children who were burned alive, a UN spokeswoman said.",1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Deputy prime minister lauds decision of Ukrainian court in disputed election (Canadian Press),Canadian Press - OTTAWA (CP) - Deputy prime minister Anne McLellan has applauded the intervention of Ukraine's supreme court in that country's disputed presidential election.,1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",ALL EYES ON WOODS #39; FITNESS,"With world number one Vijay Singh missing because of Hurricane Jeanne and Masters champion Phil Mickelson another no-show, there was even more attention than usual on Tiger Woods at Mount Juliet in County Kilkenny this afternoon.",2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",US Airways to Alter Flights,"US Airways said it will change its flight schedules in February to increase departures at its Charlotte and Philadelphia hubs and create a mini-hub in Fort Lauderdale, Fla.",3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",They #39;re not on same side,"Unable to reach an agreement on a one-year deal that pleases both sides, Al Leiter and the Mets finally were able to come to terms on something: It #39;s time both sides stop talking to each other and start looking elsewhere.",2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",McTeer: Lonesome Dove to be an Aggie,"NEW YORK (CNN/Money) - A New Economy champion, a lover of the Texas picker poets who write lovesick country songs...and, oh, by the way, a member of the Federal Reserve system for 36 years.",3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.","Schilling, Morris face tall task","So what will Curt Schilling do for an encore tonight? Take the mound without a flu shot? Five days after baseball #39;s most inspiring comeback that didn #39;t involve an Iowa cornfield, Schilling ",2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Fans put in position of deciding which team comes first,Say you #39;re a Raiders fan and the Silver and Black are playing the Broncos in late December. You want Denver to hurt the hurt that only comes with having your hiney handed to you.,2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Jets hit rebel city in payback for hotel raid,"BAGHDAD: US fighter jets bombed the rebel-held city of Fallujah yesterday, killing at least 10 people, hours after rockets slammed into a Baghdad hotel used by foreign journalists and contractors.",1.0,"{""Class Index"": ""1""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.","DreamWorks, Pixar rule digital animation","DreamWorks and Pixar both make cutting-edge digital animated films. But behind the scenes, the two studios are about as different as Shrek and Mr.",3.0,"{""Class Index"": ""3""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Quick Duff puts Kerr #39;s men into fast lane,"Brian Kerr took his Ireland squad to the dogs last Wednesday, but the evening spent watching greyhounds race was not solely about relaxation.",2.0,"{""Class Index"": ""2""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",REVIEW: New IMac G5 Short on Extras (AP),"AP - For six years, iMacs have set the standard for the PC industry with eye-popping designs, clever utilization of space and leaps forward in usability. Lately, though, Apple Computer Inc. seems to be making more waves with iPod music players than its venerable consumer PCs.",4.0,"{""Class Index"": ""4""}",1.0
"You will be given a headline and a description of a news story. Choose the category that best fits the story among: politics, sports, business, science/technology. Then translate that category into its numeric label using the mapping: politics→1, sports→2, business→3, science/technology→4. Output only the numeric label (1, 2, 3, or 4) and nothing else.",Dark arts of spin evident in phoney war for Abbey,"THE phoney war over the fate of Abbey grinds on. Along the way, on all sides, it is producing its predictable crop of knowing winks and destabilising nudges.",3.0,"{""Class Index"": ""1""}",0.0
